29,Ecroignard (Beginning of Village)
31,Bramsthan
32,Boulet Rouge
33,Central Flacq (Bus Station)


Route:,16D
Operator:,"Individual
Operator"
Remark:,Service provided by buses of Route 16
0,"Rose Hill (Place Cardinal
Margeot)"
1,Ebene (I.V.T.B.)
2,Reduit (University of Mauritius)
3,"Moka (Mahatma Gandhi
Institute)"
4,Gentilly
5,Saint Pierre (Traffic Centre)
6,Verdun (Beginning of Village)
7,Verdun (Bar le Duc Bridge)
8,Alma (Beginning of Village)
9,Alma (Cemetery)
10,"Quartier Militaire (Ex-Railway
Station)"
11,Providence (Beginning of Village)
12,Providence (End of Village)
13,Mont Ida (Government School)
14,Medine
15,Bel Etang
16,Camp de Masque (Village Hall)
17,Balance John
18,"Camp de Masque Pave
(Government School)"
19,"Camp de Masque Pave (End of
Village)"
20,Clemencia (Beginning of Village)
21,Clemencia (Co-operative Store)
22,Belle Rose
23,Cite La Lucie
24,Bel Air (Police Station)
25,Caroline
26,Ecroignard (Beginning of Village)
27,Ecroignard (End of Village)
28,Bramsthan
29,Boulet Rouge
30,Central Flacq (Bus Station)


Route:,17
Operator:,"Individual
Operator"
Location 1:,Curepipe
Location 2:,Flacq
0,Curepipe (Jan Palach North)
1,Couvent de Lorette (Mosque)
2,"Couacaud (Surat Distribution
Centre)"
3,Belle Rive (Junction)
4,Belle Rive (Carreau Chapeau)
5,Valetta (Junction)
6,Valetta (End of Village)
7,Vuillemin (Junction)
8A,Vuillemin
8,"Quartier Militaire (Ex-Railway
Station)"
9,"Providence (Beginning of
Village)"
10,Providence (End of Village)
11,"Mont Ida (Government
School)"
12,Medine
13,Bel Etang
14,"Camp de Masque (Village
Hall)"
15,F.U.E.L.
16,Bonne Mere (Reservoir)
17,Bonne Mere (Maness)
18,Central Flacq (Bus Station)
19,Argy
20,"Junction Belle Mare / Isidore
Rose"
21,Mare La Chaux


Route:,17A
Operator:,"Individual
Operator"
Remark:,Service provided by buses of Route 17
0,Curepipe (Jan Palach North)
1,Couvent de Lorette (Mosque)
2,"Couacaud (Surat Distribution
Centre)"
3,Belle Rive (Junction)
4,Belle Rive (Carreau Chapeau)
5,Valetta (Junction)
6,Valetta (End of Village)
7,Vuillemin (Junction)
8,"Quartier Militaire (Ex-Railway
Station)"
9,"Providence (Beginning of
Village)"
10,Providence (End of Village)
11,Mont Ida (Government School)
